fold,split,task_id,sims,distances,distances_norm
fold_0,validate,BigCodeBench/190,[0.9842347],[426],[0.49248554913294795]
fold_0,validate,BigCodeBench/319,[0.99666595],[324],[0.7120879120879121]
fold_0,validate,BigCodeBench/155,[0.99002004],[111],[0.30578512396694213]
fold_0,validate,BigCodeBench/31,[0.97561944],[500],[0.8665511265164645]
fold_0,validate,BigCodeBench/509,[0.99777716],[906],[0.6868840030326004]
fold_0,validate,BigCodeBench/564,[0.96985763],[398],[0.738404452690167]
fold_0,validate,BigCodeBench/522,[0.9954433],[578],[0.6598173515981736]
fold_0,validate,BigCodeBench/267,[0.9941208],[234],[0.4406779661016949]
fold_0,validate,BigCodeBench/737,[0.96879],[479],[0.6047979797979798]
fold_0,validate,BigCodeBench/723,[0.9852405],[508],[0.7673716012084593]
fold_0,validate,BigCodeBench/182,[0.99126685],[268],[0.504708097928437]
fold_0,validate,BigCodeBench/378,[0.99752957],[436],[0.464818763326226]
fold_0,validate,BigCodeBench/617,[0.9976561],[554],[0.4597510373443983]
fold_0,validate,BigCodeBench/526,[0.997156],[372],[0.5383502170767004]
fold_0,validate,BigCodeBench/892,[0.99460435],[141],[0.4577922077922078]
fold_0,validate,BigCodeBench/935,[0.9752314],[325],[0.626204238921002]
fold_0,validate,BigCodeBench/242,[0.9917794],[496],[0.6115906288532675]
fold_0,validate,BigCodeBench/411,[0.9916818],[97],[0.2930513595166163]
fold_0,validate,BigCodeBench/13,[0.99892586],[469],[0.42558983666061706]
fold_0,validate,BigCodeBench/264,[0.99174964],[325],[0.6448412698412699]
fold_0,validate,BigCodeBench/63,[0.99040425],[317],[0.6604166666666667]
fold_0,validate,BigCodeBench/1114,[0.99549097],[146],[0.37823834196891193]
fold_0,validate,BigCodeBench/1001,[0.99568427],[309],[0.5090609555189456]
fold_0,validate,BigCodeBench/725,[0.9713721],[505],[1.2438423645320198]
fold_0,validate,BigCodeBench/568,[0.9881024],[424],[0.7090301003344481]
fold_0,validate,BigCodeBench/399,[0.99414885],[308],[0.5620437956204379]
fold_0,validate,BigCodeBench/1069,[0.9789866],[636],[1.10801393728223]
fold_0,test,BigCodeBench/208,"[0.9779332, 0.97157025, 0.9916962]","[509, 751, 202]","[0.9105545617173524, 1.3434704830053668, 0.3613595706618962]"
fold_0,test,BigCodeBench/475,"[0.99484634, 0.9952084, 0.9927457]","[512, 663, 916]","[0.5470085470085471, 0.7083333333333334, 0.9786324786324786]"
fold_0,test,BigCodeBench/439,"[0.98111904, 0.9671175, 0.98745453]","[354, 558, 289]","[1.032069970845481, 1.6268221574344024, 0.8425655976676385]"
fold_0,test,BigCodeBench/173,"[0.99413526, 0.98439074, 0.97293216]","[203, 201, 352]","[0.5087719298245614, 0.5037593984962406, 0.8822055137844611]"
fold_0,test,BigCodeBench/985,"[0.9979065, 0.99677235, 0.99660647]","[792, 900, 814]","[0.5311871227364185, 0.6036217303822937, 0.5459423205902079]"
fold_0,test,BigCodeBench/909,"[0.9956575, 0.99260765, 0.993535]","[141, 151, 201]","[0.2727272727272727, 0.29206963249516443, 0.38878143133462284]"
fold_0,test,BigCodeBench/713,"[0.99527377, 0.9930651, 0.9963771]","[344, 665, 472]","[0.4444444444444444, 0.8591731266149871, 0.6098191214470284]"
fold_0,test,BigCodeBench/594,"[0.99571, 0.9940923, 0.99247015]","[574, 586, 655]","[0.7211055276381909, 0.7361809045226131, 0.8228643216080402]"
fold_0,test,BigCodeBench/360,"[0.9915947, 0.99157274, 0.9971768]","[622, 843, 319]","[0.8227513227513228, 1.1150793650793651, 0.421957671957672]"
fold_0,test,BigCodeBench/203,"[0.99564254, 0.99503237, 0.995004]","[705, 544, 463]","[0.7320872274143302, 0.564901349948079, 0.48078920041536866]"
fold_0,test,BigCodeBench/822,"[0.9967843, 0.9934212, 0.9959737]","[240, 292, 296]","[0.39279869067103107, 0.4779050736497545, 0.4844517184942717]"
fold_0,test,BigCodeBench/314,"[0.9799868, 0.98068243, 0.9664656]","[332, 305, 455]","[0.6680080482897385, 0.613682092555332, 0.9154929577464789]"
fold_0,test,BigCodeBench/491,"[0.9977473, 0.99362767, 0.9969068]","[692, 757, 566]","[0.6313868613138686, 0.6906934306569343, 0.5164233576642335]"
fold_0,test,BigCodeBench/933,"[0.9924652, 0.9944236, 0.9774184]","[165, 194, 248]","[0.642023346303502, 0.754863813229572, 0.9649805447470817]"
fold_0,test,BigCodeBench/1015,"[0.99621356, 0.99129593, 0.9972838]","[921, 824, 417]","[0.748780487804878, 0.6699186991869919, 0.33902439024390246]"
fold_0,test,BigCodeBench/1137,"[0.9838178, 0.9789426, 0.9910048]","[1012, 893, 491]","[1.6063492063492064, 1.4174603174603175, 0.7793650793650794]"
fold_0,test,BigCodeBench/507,"[0.97881246, 0.9901747, 0.9857335]","[669, 584, 647]","[0.6833503575076609, 0.5965270684371808, 0.6608784473953013]"
fold_0,test,BigCodeBench/1123,"[0.98978776, 0.98881257, 0.9800482]","[734, 372, 649]","[1.1309707241910631, 0.5731895223420647, 1.0]"
fold_0,test,BigCodeBench/270,"[0.99241567, 0.9941354, 0.9941354]","[51, 59, 59]","[0.35172413793103446, 0.4068965517241379, 0.4068965517241379]"
fold_0,test,BigCodeBench/1065,"[0.9927033, 0.9797386, 0.9873961]","[145, 260, 189]","[0.4915254237288136, 0.8813559322033898, 0.6406779661016949]"
fold_0,test,BigCodeBench/720,"[0.9932128, 0.9861001, 0.991786]","[540, 659, 551]","[0.7171314741035857, 0.8751660026560425, 0.7317397078353254]"
fold_0,test,BigCodeBench/88,"[0.9872357, 0.9763347, 0.9815351]","[357, 543, 422]","[0.7660944206008584, 1.1652360515021458, 0.9055793991416309]"
fold_0,test,BigCodeBench/435,"[0.9908033, 0.98932695, 0.9898512]","[311, 312, 316]","[0.5289115646258503, 0.5306122448979592, 0.5374149659863946]"
fold_0,test,BigCodeBench/946,"[0.9951926, 0.9877236, 0.9915467]","[105, 126, 125]","[0.2807486631016043, 0.33689839572192515, 0.3342245989304813]"
fold_0,test,BigCodeBench/875,"[0.9733022, 0.99225754, 0.98385525]","[549, 163, 362]","[1.1831896551724137, 0.35129310344827586, 0.7801724137931034]"
fold_0,test,BigCodeBench/232,"[0.97714245, 0.9800936, 0.9757552]","[388, 406, 471]","[0.9371980676328503, 0.9806763285024155, 1.1376811594202898]"
fold_0,test,BigCodeBench/565,"[0.95355594, 0.9718883, 0.9600588]","[726, 493, 443]","[1.7881773399014778, 1.2142857142857142, 1.0911330049261083]"
fold_0,test,BigCodeBench/402,"[0.94490165, 0.96587074, 0.95494515]","[1747, 1025, 641]","[3.979498861047836, 2.334851936218679, 1.460136674259681]"
fold_0,test,BigCodeBench/1113,"[0.9802851, 0.99458957, 0.9935125]","[412, 250, 194]","[0.8174603174603174, 0.49603174603174605, 0.38492063492063494]"
fold_0,test,BigCodeBench/1044,"[0.99134755, 0.9943515, 0.9947184]","[523, 656, 448]","[0.7077131258457375, 0.8876860622462788, 0.6062246278755075]"
fold_0,test,BigCodeBench/1030,"[0.9974757, 0.9939367, 0.9961526]","[64, 167, 39]","[0.23703703703703705, 0.6185185185185185, 0.14444444444444443]"
fold_0,test,BigCodeBench/918,"[0.98777294, 0.97441036, 0.9841902]","[231, 260, 380]","[0.7042682926829268, 0.7926829268292683, 1.1585365853658536]"
fold_0,test,BigCodeBench/597,"[0.97636354, 0.9875643, 0.99484396]","[262, 233, 257]","[0.6223277909738717, 0.5534441805225653, 0.6104513064133017]"
fold_0,test,BigCodeBench/697,"[0.9611241, 0.977785, 0.9814793]","[238, 418, 418]","[0.5666666666666667, 0.9952380952380953, 0.9952380952380953]"
fold_0,test,BigCodeBench/929,"[0.9805378, 0.98551357, 0.98145044]","[258, 264, 254]","[0.7543859649122807, 0.7719298245614035, 0.7426900584795322]"
fold_0,test,BigCodeBench/944,"[0.99717736, 0.9971524, 0.991581]","[259, 336, 226]","[0.3523809523809524, 0.45714285714285713, 0.3074829931972789]"
fold_0,test,BigCodeBench/701,"[0.9608158, 0.9721614, 0.96873504]","[403, 287, 330]","[1.5381679389312977, 1.0954198473282444, 1.2595419847328244]"
fold_0,test,BigCodeBench/246,"[0.9923842, 0.9945195, 0.99676377]","[391, 389, 269]","[0.7161172161172161, 0.7124542124542125, 0.4926739926739927]"
fold_0,test,BigCodeBench/986,"[0.9881961, 0.99701977, 0.99506414]","[788, 580, 589]","[0.976456009913259, 0.7187112763320942, 0.7298636926889716]"
fold_0,test,BigCodeBench/913,"[0.97620654, 0.96870345, 0.98489624]","[518, 537, 544]","[0.5846501128668171, 0.6060948081264108, 0.6139954853273137]"
fold_0,test,BigCodeBench/89,"[0.9912143, 0.98350877, 0.9976055]","[526, 404, 383]","[0.6025200458190149, 0.4627720504009164, 0.43871706758304696]"
fold_0,test,BigCodeBench/388,"[0.9619478, 0.95936817, 0.9879021]","[493, 519, 271]","[1.3926553672316384, 1.4661016949152543, 0.7655367231638418]"
fold_0,test,BigCodeBench/584,"[0.9909598, 0.9909999, 0.998423]","[540, 521, 361]","[0.6844106463878327, 0.6603295310519645, 0.45754119138149557]"
fold_0,test,BigCodeBench/1009,"[0.9755358, 0.9765639, 0.9728887]","[462, 487, 438]","[0.8716981132075472, 0.9188679245283019, 0.8264150943396227]"
fold_0,test,BigCodeBench/1105,"[0.9968136, 0.97708076, 0.9974846]","[240, 1041, 200]","[0.39344262295081966, 1.7065573770491804, 0.32786885245901637]"
fold_0,test,BigCodeBench/237,"[0.9972817, 0.9944724, 0.99633116]","[374, 480, 343]","[0.5335235378031383, 0.6847360912981455, 0.4893009985734665]"
fold_0,test,BigCodeBench/412,"[0.96803325, 0.96821946, 0.94463074]","[450, 428, 569]","[1.4195583596214512, 1.3501577287066246, 1.7949526813880126]"
fold_0,test,BigCodeBench/15,"[0.9966738, 0.9877617, 0.9968635]","[752, 853, 460]","[0.8487584650112867, 0.9627539503386005, 0.5191873589164786]"
fold_0,test,BigCodeBench/81,"[0.52539444, 0.9578327, 0.9965031]","[421, 324, 76]","[1.0, 0.7695961995249406, 0.18052256532066507]"
fold_0,test,BigCodeBench/204,"[0.96609205, 0.9650427, 0.9870055]","[645, 475, 286]","[1.4726027397260273, 1.0844748858447488, 0.6529680365296804]"
fold_0,test,BigCodeBench/154,"[0.9965068, 0.9805284, 0.9917026]","[153, 343, 273]","[0.4322033898305085, 0.9689265536723164, 0.7711864406779662]"
fold_0,test,BigCodeBench/1064,"[0.94304764, 0.96369886, 0.96184516]","[277, 288, 292]","[0.6723300970873787, 0.6990291262135923, 0.7087378640776699]"
fold_0,test,BigCodeBench/344,"[0.9939338, 0.989853, 0.9827386]","[122, 218, 401]","[0.25684210526315787, 0.4589473684210526, 0.8442105263157895]"
fold_0,test,BigCodeBench/941,"[0.9902732, 0.99343723, 0.99766076]","[273, 319, 169]","[0.41615853658536583, 0.48628048780487804, 0.2576219512195122]"
fold_0,test,BigCodeBench/606,"[0.9971078, 0.9912035, 0.9915563]","[46, 47, 78]","[0.21904761904761905, 0.22380952380952382, 0.37142857142857144]"
fold_0,test,BigCodeBench/46,"[0.96541196, 0.9482368, 0.9524649]","[330, 415, 444]","[1.3147410358565736, 1.653386454183267, 1.7689243027888446]"
fold_0,test,BigCodeBench/1056,"[0.99505985, 0.9864463, 0.9795357]","[311, 368, 331]","[0.45335276967930027, 0.5364431486880467, 0.48250728862973763]"
fold_0,test,BigCodeBench/602,"[0.99047995, 0.98028183, 0.98665076]","[226, 318, 185]","[0.6108108108108108, 0.8594594594594595, 0.5]"
fold_0,test,BigCodeBench/785,"[0.99653876, 0.9967809, 0.9954348]","[400, 394, 370]","[0.5830903790087464, 0.5743440233236151, 0.5393586005830904]"
fold_0,test,BigCodeBench/583,"[0.99777097, 0.989038, 0.9960938]","[264, 375, 309]","[0.4217252396166134, 0.5990415335463258, 0.4936102236421725]"
fold_0,test,BigCodeBench/1005,"[0.9849087, 0.98774076, 0.99260116]","[426, 673, 407]","[0.6563944530046225, 1.036979969183359, 0.6271186440677966]"
fold_0,test,BigCodeBench/1012,"[0.9967164, 0.99771196, 0.9954457]","[629, 642, 595]","[0.5517543859649123, 0.5631578947368421, 0.5219298245614035]"
fold_0,test,BigCodeBench/103,"[0.9921703, 0.9914714, 0.99187165]","[652, 705, 426]","[0.9340974212034384, 1.010028653295129, 0.6103151862464183]"
fold_0,test,BigCodeBench/973,"[0.9962716, 0.98881817, 0.99592066]","[350, 487, 456]","[0.4196642685851319, 0.5839328537170264, 0.5467625899280576]"
fold_0,test,BigCodeBench/202,"[0.9847752, 0.9645133, 0.9917782]","[471, 489, 456]","[0.6023017902813299, 0.6253196930946292, 0.5831202046035806]"
fold_0,test,BigCodeBench/881,"[0.99207425, 0.97419417, 0.96197]","[505, 619, 350]","[0.753731343283582, 0.9238805970149254, 0.5223880597014925]"
fold_0,test,BigCodeBench/195,"[0.96328914, 0.9530014, 0.9899155]","[527, 451, 123]","[1.4398907103825136, 1.2322404371584699, 0.3360655737704918]"
fold_0,test,BigCodeBench/894,"[0.99470615, 0.99091303, 0.995971]","[373, 425, 159]","[0.55096011816839, 0.6277695716395865, 0.23485967503692762]"
fold_0,test,BigCodeBench/320,"[0.9876075, 0.97788984, 0.9837393]","[165, 369, 214]","[0.3900709219858156, 0.8723404255319149, 0.5059101654846335]"
fold_0,test,BigCodeBench/224,"[0.98859155, 0.9901984, 0.9930758]","[731, 753, 667]","[0.917189460476788, 0.944792973651192, 0.8368883312421581]"
fold_0,test,BigCodeBench/397,"[0.9557624, 0.96743274, 0.97115415]","[1256, 759, 644]","[3.14, 1.8975, 1.61]"
fold_0,test,BigCodeBench/1094,"[0.99345744, 0.99291587, 0.9885777]","[157, 163, 273]","[0.39646464646464646, 0.4116161616161616, 0.6893939393939394]"
fold_0,test,BigCodeBench/715,"[0.95108014, 0.93842196, 0.9666093]","[1030, 1042, 448]","[3.47972972972973, 3.52027027027027, 1.5135135135135136]"
fold_0,test,BigCodeBench/989,"[0.9893745, 0.9969837, 0.9941591]","[948, 399, 640]","[0.9566094853683148, 0.4026236125126135, 0.6458123107971746]"
fold_0,test,BigCodeBench/1040,"[0.99896866, 0.9983479, 0.9960343]","[2348, 1470, 865]","[1.2449628844114529, 0.7794273594909862, 0.4586426299045599]"
fold_0,test,BigCodeBench/914,"[0.994211, 0.99018973, 0.99125147]","[427, 608, 525]","[0.5865384615384616, 0.8351648351648352, 0.7211538461538461]"
fold_0,test,BigCodeBench/524,"[0.99693143, 0.9963276, 0.99625885]","[518, 510, 671]","[0.5390218522372529, 0.5306971904266389, 0.6982310093652445]"
fold_0,test,BigCodeBench/440,"[0.9964354, 0.997593, 0.99360085]","[340, 317, 346]","[0.4657534246575342, 0.43424657534246575, 0.473972602739726]"
fold_0,test,BigCodeBench/975,"[0.99619, 0.9950428, 0.99277955]","[119, 123, 147]","[0.371875, 0.384375, 0.459375]"
fold_0,test,BigCodeBench/85,"[0.98979175, 0.990057, 0.989413]","[747, 1025, 660]","[0.9701298701298702, 1.3311688311688312, 0.8571428571428571]"
fold_0,test,BigCodeBench/219,"[0.96788126, 0.98886746, 0.98348]","[830, 345, 404]","[1.5456238361266295, 0.6424581005586593, 0.7523277467411545]"
fold_0,test,BigCodeBench/567,"[0.98618346, 0.9909481, 0.97585636]","[338, 322, 306]","[0.560530679933665, 0.5339966832504146, 0.5074626865671642]"
fold_0,test,BigCodeBench/493,"[0.9974874, 0.9975795, 0.9969755]","[765, 608, 518]","[0.6681222707423581, 0.5310043668122271, 0.4524017467248908]"
fold_0,test,BigCodeBench/49,"[0.9946648, 0.9836633, 0.99535733]","[251, 322, 167]","[0.5340425531914894, 0.6851063829787234, 0.3553191489361702]"
fold_0,test,BigCodeBench/934,"[0.98383653, 0.9896773, 0.9894784]","[185, 146, 166]","[0.7773109243697479, 0.6134453781512605, 0.6974789915966386]"
fold_0,test,BigCodeBench/124,"[0.99783194, 0.99492943, 0.9983681]","[286, 311, 271]","[0.36855670103092786, 0.4007731958762887, 0.3492268041237113]"
fold_0,test,BigCodeBench/386,"[0.9836974, 0.9847737, 0.9959334]","[204, 200, 91]","[0.5528455284552846, 0.5420054200542005, 0.24661246612466126]"
fold_0,test,BigCodeBench/569,"[0.98876333, 0.98076296, 0.99221426]","[353, 436, 315]","[0.9051282051282051, 1.117948717948718, 0.8076923076923077]"
fold_0,test,BigCodeBench/1102,"[0.9894357, 0.97169256, 0.9813429]","[342, 590, 536]","[0.5836177474402731, 1.006825938566553, 0.9146757679180887]"
fold_0,test,BigCodeBench/664,"[0.9918779, 0.9877039, 0.9861688]","[546, 778, 428]","[0.78, 1.1114285714285714, 0.6114285714285714]"
fold_0,test,BigCodeBench/429,"[0.9964756, 0.9934665, 0.9937098]","[356, 434, 444]","[0.6345811051693404, 0.7736185383244206, 0.7914438502673797]"
fold_0,test,BigCodeBench/849,"[0.996002, 0.99336255, 0.98794895]","[140, 136, 165]","[0.343980343980344, 0.33415233415233414, 0.40540540540540543]"
fold_0,test,BigCodeBench/66,"[0.9916557, 0.9501514, 0.9695207]","[204, 319, 452]","[0.6845637583892618, 1.070469798657718, 1.516778523489933]"
fold_0,test,BigCodeBench/469,"[0.9948566, 0.9950346, 0.99653304]","[342, 304, 367]","[0.43236409608091025, 0.3843236409608091, 0.4639696586599241]"
fold_0,test,BigCodeBench/635,"[0.9934814, 0.9917352, 0.9900017]","[863, 668, 824]","[0.6378418329637842, 0.49371766444937176, 0.6090169992609017]"
fold_0,test,BigCodeBench/329,"[0.9766538, 0.97295403, 0.98633707]","[357, 451, 282]","[1.0593471810089021, 1.3382789317507418, 0.8367952522255193]"
fold_0,test,BigCodeBench/773,"[0.9927763, 0.99162465, 0.9955612]","[291, 363, 197]","[0.5150442477876106, 0.6424778761061947, 0.3486725663716814]"
fold_0,test,BigCodeBench/229,"[0.99542654, 0.9965595, 0.997355]","[298, 293, 301]","[0.38402061855670105, 0.37757731958762886, 0.38788659793814434]"
fold_0,test,BigCodeBench/726,"[0.9829284, 0.9756937, 0.97939575]","[287, 189, 175]","[0.5929752066115702, 0.390495867768595, 0.3615702479338843]"
fold_0,test,BigCodeBench/51,"[0.997139, 0.9939466, 0.997511]","[364, 379, 351]","[0.5126760563380282, 0.5338028169014084, 0.4943661971830986]"
fold_0,test,BigCodeBench/951,"[0.9948144, 0.99479127, 0.9917244]","[420, 330, 442]","[0.6008583690987125, 0.4721030042918455, 0.6323319027181689]"
fold_0,test,BigCodeBench/476,"[0.96747875, 0.97446376, 0.96478736]","[340, 301, 374]","[1.1003236245954693, 0.9741100323624595, 1.2103559870550162]"
fold_0,test,BigCodeBench/188,"[0.9764359, 0.98027915, 0.98947823]","[770, 591, 643]","[0.7051282051282052, 0.5412087912087912, 0.5888278388278388]"
fold_0,test,BigCodeBench/528,"[0.9922797, 0.9795599, 0.99504507]","[521, 909, 418]","[0.7317415730337079, 1.276685393258427, 0.5870786516853933]"
fold_0,test,BigCodeBench/582,"[0.996163, 0.99059844, 0.9941267]","[360, 427, 380]","[0.6654343807763401, 0.789279112754159, 0.7024029574861368]"
fold_0,test,BigCodeBench/348,"[0.94016296, 0.949028, 0.97542816]","[1380, 436, 328]","[3.780821917808219, 1.1945205479452055, 0.8986301369863013]"
fold_0,test,BigCodeBench/886,"[0.99317825, 0.9845189, 0.9718101]","[261, 387, 626]","[0.5294117647058824, 0.7849898580121704, 1.2697768762677484]"
fold_0,test,BigCodeBench/779,"[0.98751795, 0.9871352, 0.9836887]","[954, 896, 869]","[0.6437246963562753, 0.6045883940620783, 0.5863697705802969]"
fold_0,test,BigCodeBench/241,"[0.9929817, 0.9931905, 0.989504]","[185, 288, 251]","[0.3862212943632568, 0.6012526096033403, 0.524008350730689]"
fold_0,test,BigCodeBench/1097,"[0.99843264, 0.9964875, 0.9975359]","[196, 169, 173]","[0.1636060100166945, 0.14106844741235391, 0.14440734557595994]"
fold_0,test,BigCodeBench/763,"[0.98397875, 0.9933946, 0.99485826]","[1283, 480, 418]","[1.7894002789400278, 0.6694560669456067, 0.5829846582984658]"
fold_0,test,BigCodeBench/620,"[0.99533784, 0.969129, 0.99404544]","[107, 497, 122]","[0.4053030303030303, 1.8825757575757576, 0.4621212121212121]"
fold_0,test,BigCodeBench/395,"[0.9958244, 0.9939535, 0.99335116]","[261, 263, 295]","[0.3367741935483871, 0.3393548387096774, 0.38064516129032255]"
fold_0,test,BigCodeBench/618,"[0.9920931, 0.98544866, 0.9821377]","[475, 481, 461]","[0.5214050493962679, 0.5279912184412733, 0.5060373216245884]"
fold_0,test,BigCodeBench/332,"[0.9863332, 0.99182546, 0.98809636]","[230, 140, 196]","[0.7443365695792881, 0.45307443365695793, 0.6343042071197411]"
fold_0,test,BigCodeBench/955,"[0.98387396, 0.9800062, 0.9939151]","[552, 562, 368]","[0.9701230228471002, 0.9876977152899824, 0.6467486818980668]"
fold_0,test,BigCodeBench/1041,"[0.993292, 0.99178416, 0.9839011]","[672, 609, 556]","[0.8795811518324608, 0.7971204188481675, 0.7277486910994765]"
fold_0,test,BigCodeBench/413,"[0.9915599, 0.98651123, 0.9931121]","[801, 742, 476]","[1.1265822784810127, 1.0436005625879043, 0.6694796061884669]"
fold_0,test,BigCodeBench/93,"[0.98013794, 0.980872, 0.9883814]","[553, 570, 387]","[0.9550949913644214, 0.9844559585492227, 0.6683937823834197]"
fold_0,test,BigCodeBench/900,"[0.9879372, 0.9865457, 0.9813144]","[347, 340, 687]","[0.43924050632911393, 0.43037974683544306, 0.8696202531645569]"
fold_0,test,BigCodeBench/997,"[0.9976462, 0.9982836, 0.9978074]","[89, 99, 118]","[0.2045977011494253, 0.22758620689655173, 0.271264367816092]"
fold_0,test,BigCodeBench/1039,"[0.9942568, 0.9962846, 0.99634683]","[504, 496, 457]","[0.5195876288659794, 0.511340206185567, 0.4711340206185567]"
fold_0,test,BigCodeBench/443,"[0.99846566, 0.9971242, 0.99238545]","[429, 303, 261]","[0.4953810623556582, 0.34988452655889146, 0.30138568129330257]"
fold_0,test,BigCodeBench/947,"[0.9935119, 0.9923455, 0.99566954]","[329, 313, 304]","[0.5384615384615384, 0.5122749590834698, 0.49754500818330605]"
fold_0,test,BigCodeBench/1120,"[0.959561, 0.96151423, 0.9680458]","[846, 793, 632]","[2.115, 1.9825, 1.58]"
fold_0,test,BigCodeBench/885,"[0.95990056, 0.9587127, 0.9720346]","[478, 450, 625]","[0.4552380952380952, 0.42857142857142855, 0.5952380952380952]"
fold_0,test,BigCodeBench/363,"[0.99540985, 0.9960418, 0.99664927]","[149, 82, 97]","[0.3303769401330377, 0.18181818181818182, 0.21507760532150777]"
fold_0,test,BigCodeBench/513,"[0.9935589, 0.9894872, 0.9945144]","[616, 677, 738]","[0.6609442060085837, 0.7263948497854077, 0.7918454935622318]"
