fold,split,task_id,sims
fold_0,test,BigCodeBench/246,"[0.9923842, 0.9945195, 0.99676377]"
fold_0,test,BigCodeBench/986,"[0.9881961, 0.99701977, 0.99506414]"
fold_0,test,BigCodeBench/913,"[0.97620654, 0.96870345, 0.98489624]"
fold_0,test,BigCodeBench/89,"[0.9912143, 0.98350877, 0.9976055]"
fold_0,test,BigCodeBench/388,"[0.9619478, 0.95936817, 0.9879021]"
fold_0,test,BigCodeBench/584,"[0.9909598, 0.9909999, 0.998423]"
fold_0,test,BigCodeBench/1009,"[0.9755358, 0.9765639, 0.9728887]"
fold_0,test,BigCodeBench/1105,"[0.9968136, 0.97708076, 0.9974846]"
fold_0,test,BigCodeBench/237,"[0.9972817, 0.9944724, 0.99633116]"
fold_0,test,BigCodeBench/412,"[0.96803325, 0.96821946, 0.94463074]"
fold_0,test,BigCodeBench/15,"[0.9966738, 0.9877617, 0.9968635]"
fold_0,test,BigCodeBench/81,"[0.52539444, 0.9578327, 0.9965031]"
fold_0,test,BigCodeBench/204,"[0.96609205, 0.9650427, 0.9870055]"
fold_0,test,BigCodeBench/154,"[0.9965068, 0.9805284, 0.9917026]"
fold_0,test,BigCodeBench/1064,"[0.94304764, 0.96369886, 0.96184516]"
fold_0,test,BigCodeBench/344,"[0.9939338, 0.989853, 0.9827386]"
fold_0,test,BigCodeBench/941,"[0.9902732, 0.99343723, 0.99766076]"
fold_0,test,BigCodeBench/606,"[0.9971078, 0.9912035, 0.9915563]"
fold_0,test,BigCodeBench/46,"[0.96541196, 0.9482368, 0.9524649]"
fold_0,test,BigCodeBench/1056,"[0.99505985, 0.9864463, 0.9795357]"
fold_0,test,BigCodeBench/602,"[0.99047995, 0.98028183, 0.98665076]"
fold_0,test,BigCodeBench/785,"[0.99653876, 0.9967809, 0.9954348]"
fold_0,test,BigCodeBench/583,"[0.99777097, 0.989038, 0.9960938]"
fold_0,test,BigCodeBench/1005,"[0.9849087, 0.98774076, 0.99260116]"
fold_0,test,BigCodeBench/1012,"[0.9967164, 0.99771196, 0.9954457]"
fold_0,test,BigCodeBench/103,"[0.9921703, 0.9914714, 0.99187165]"
fold_0,test,BigCodeBench/973,"[0.9962716, 0.98881817, 0.99592066]"
fold_0,test,BigCodeBench/202,"[0.9847752, 0.9645133, 0.9917782]"
fold_0,test,BigCodeBench/881,"[0.99207425, 0.97419417, 0.96197]"
fold_0,test,BigCodeBench/195,"[0.96328914, 0.9530014, 0.9899155]"
fold_0,test,BigCodeBench/894,"[0.99470615, 0.99091303, 0.995971]"
fold_0,test,BigCodeBench/320,"[0.9876075, 0.97788984, 0.9837393]"
fold_0,test,BigCodeBench/224,"[0.98859155, 0.9901984, 0.9930758]"
fold_0,test,BigCodeBench/397,"[0.9557624, 0.96743274, 0.97115415]"
fold_0,test,BigCodeBench/1094,"[0.99345744, 0.99291587, 0.9885777]"
fold_0,test,BigCodeBench/715,"[0.95108014, 0.93842196, 0.9666093]"
fold_0,test,BigCodeBench/989,"[0.9893745, 0.9969837, 0.9941591]"
fold_0,test,BigCodeBench/1040,"[0.99896866, 0.9983479, 0.9960343]"
fold_0,test,BigCodeBench/914,"[0.994211, 0.99018973, 0.99125147]"
fold_0,test,BigCodeBench/524,"[0.99693143, 0.9963276, 0.99625885]"
fold_0,test,BigCodeBench/440,"[0.9964354, 0.997593, 0.99360085]"
fold_0,test,BigCodeBench/975,"[0.99619, 0.9950428, 0.99277955]"
fold_0,test,BigCodeBench/85,"[0.98979175, 0.990057, 0.989413]"
fold_0,test,BigCodeBench/219,"[0.96788126, 0.98886746, 0.98348]"
fold_0,test,BigCodeBench/567,"[0.98618346, 0.9909481, 0.97585636]"
fold_0,test,BigCodeBench/493,"[0.9974874, 0.9975795, 0.9969755]"
fold_0,test,BigCodeBench/49,"[0.9946648, 0.9836633, 0.99535733]"
fold_0,test,BigCodeBench/934,"[0.98383653, 0.9896773, 0.9894784]"
fold_0,test,BigCodeBench/124,"[0.99783194, 0.99492943, 0.9983681]"
fold_0,test,BigCodeBench/386,"[0.9836974, 0.9847737, 0.9959334]"
fold_0,test,BigCodeBench/569,"[0.98876333, 0.98076296, 0.99221426]"
fold_0,test,BigCodeBench/1102,"[0.9894357, 0.97169256, 0.9813429]"
fold_0,test,BigCodeBench/664,"[0.9918779, 0.9877039, 0.9861688]"
fold_0,test,BigCodeBench/429,"[0.9964756, 0.9934665, 0.9937098]"
fold_0,test,BigCodeBench/849,"[0.996002, 0.99336255, 0.98794895]"
fold_0,test,BigCodeBench/66,"[0.9916557, 0.9501514, 0.9695207]"
fold_0,test,BigCodeBench/469,"[0.9948566, 0.9950346, 0.99653304]"
fold_0,test,BigCodeBench/635,"[0.9934814, 0.9917352, 0.9900017]"
fold_0,test,BigCodeBench/329,"[0.9766538, 0.97295403, 0.98633707]"
fold_0,test,BigCodeBench/773,"[0.9927763, 0.99162465, 0.9955612]"
fold_0,test,BigCodeBench/229,"[0.99542654, 0.9965595, 0.997355]"
fold_0,test,BigCodeBench/726,"[0.9829284, 0.9756937, 0.97939575]"
fold_0,test,BigCodeBench/51,"[0.997139, 0.9939466, 0.997511]"
fold_0,test,BigCodeBench/951,"[0.9948144, 0.99479127, 0.9917244]"
fold_0,test,BigCodeBench/476,"[0.96747875, 0.97446376, 0.96478736]"
fold_0,test,BigCodeBench/188,"[0.9764359, 0.98027915, 0.98947823]"
fold_0,test,BigCodeBench/528,"[0.9922797, 0.9795599, 0.99504507]"
fold_0,test,BigCodeBench/582,"[0.996163, 0.99059844, 0.9941267]"
fold_0,test,BigCodeBench/348,"[0.94016296, 0.949028, 0.97542816]"
fold_0,test,BigCodeBench/886,"[0.99317825, 0.9845189, 0.9718101]"
fold_0,test,BigCodeBench/779,"[0.98751795, 0.9871352, 0.9836887]"
fold_0,test,BigCodeBench/241,"[0.9929817, 0.9931905, 0.989504]"
fold_0,test,BigCodeBench/1097,"[0.99843264, 0.9964875, 0.9975359]"
fold_0,test,BigCodeBench/763,"[0.98397875, 0.9933946, 0.99485826]"
fold_0,test,BigCodeBench/620,"[0.99533784, 0.969129, 0.99404544]"
fold_0,test,BigCodeBench/395,"[0.9958244, 0.9939535, 0.99335116]"
fold_0,test,BigCodeBench/618,"[0.9920931, 0.98544866, 0.9821377]"
fold_0,test,BigCodeBench/332,"[0.9863332, 0.99182546, 0.98809636]"
fold_0,test,BigCodeBench/955,"[0.98387396, 0.9800062, 0.9939151]"
fold_0,test,BigCodeBench/1041,"[0.993292, 0.99178416, 0.9839011]"
fold_0,test,BigCodeBench/413,"[0.9915599, 0.98651123, 0.9931121]"
fold_0,test,BigCodeBench/93,"[0.98013794, 0.980872, 0.9883814]"
fold_0,test,BigCodeBench/900,"[0.9879372, 0.9865457, 0.9813144]"
fold_0,test,BigCodeBench/997,"[0.9976462, 0.9982836, 0.9978074]"
fold_0,test,BigCodeBench/1039,"[0.9942568, 0.9962846, 0.99634683]"
fold_0,test,BigCodeBench/443,"[0.99846566, 0.9971242, 0.99238545]"
fold_0,test,BigCodeBench/947,"[0.9935119, 0.9923455, 0.99566954]"
fold_0,test,BigCodeBench/1120,"[0.959561, 0.96151423, 0.9680458]"
fold_0,test,BigCodeBench/885,"[0.95990056, 0.9587127, 0.9720346]"
fold_0,test,BigCodeBench/363,"[0.99540985, 0.9960418, 0.99664927]"
fold_0,test,BigCodeBench/513,"[0.9935589, 0.9894872, 0.9945144]"
fold_0,test,BigCodeBench/172,"[0.9462765, 0.9940299, 0.9915192]"
fold_0,test,BigCodeBench/117,"[0.9965724, 0.9969839, 0.9958974]"
fold_0,test,BigCodeBench/321,"[0.99068856, 0.9912379, 0.9951843]"
fold_0,test,BigCodeBench/115,"[0.9939447, 0.9519062, 0.98183966]"
fold_0,test,BigCodeBench/41,"[0.9879865, 0.980895, 0.9912065]"
fold_0,test,BigCodeBench/8,"[0.9920668, 0.99403274, 0.99172086]"
fold_0,test,BigCodeBench/818,"[0.99519414, 0.99331665, 0.99345237]"
fold_0,test,BigCodeBench/50,"[0.9944457, 0.99675584, 0.98756117]"
fold_0,test,BigCodeBench/125,"[0.99744284, 0.99404657, 0.9971746]"
fold_0,test,BigCodeBench/614,"[0.98636734, 0.9874829, 0.9917927]"
fold_0,test,BigCodeBench/323,"[0.9906018, 0.9945961, 0.9934957]"
fold_0,test,BigCodeBench/317,"[0.9979535, 0.9951207, 0.99525404]"
fold_0,test,BigCodeBench/864,"[0.9900821, 0.96662486, 0.9828236]"
fold_0,test,BigCodeBench/993,"[0.99417394, 0.9877782, 0.9850493]"
fold_0,test,BigCodeBench/1122,"[0.98619616, 0.9904017, 0.98836565]"
fold_0,test,BigCodeBench/383,"[0.98406816, 0.9883168, 0.9821002]"
fold_0,test,BigCodeBench/17,"[0.99323225, 0.9878434, 0.9940468]"
fold_0,test,BigCodeBench/1085,"[0.9795336, 0.98705196, 0.96987677]"
fold_0,test,BigCodeBench/917,"[0.9896457, 0.99417955, 0.99260515]"
fold_0,test,BigCodeBench/1104,"[0.9897169, 0.9723366, 0.9937468]"
fold_0,test,BigCodeBench/511,"[0.9770774, 0.987487, 0.99222726]"
fold_0,test,BigCodeBench/291,"[0.9423579, 0.9436993, 0.96456605]"
fold_0,test,BigCodeBench/798,"[0.98612213, 0.9900662, 0.9801642]"
fold_0,test,BigCodeBench/607,"[0.9670454, 0.9782018, 0.9818951]"
fold_0,test,BigCodeBench/365,"[0.99741423, 0.9980098, 0.9973034]"
fold_0,test,BigCodeBench/256,"[0.9965608, 0.99409306, 0.99727196]"
fold_0,test,BigCodeBench/857,"[0.5354817, 0.98381555, 0.98045427]"
fold_0,test,BigCodeBench/441,"[0.976305, 0.9770391, 0.9931209]"
fold_0,test,BigCodeBench/215,"[0.97340244, 0.97115314, 0.9767958]"
fold_0,test,BigCodeBench/1036,"[0.9962133, 0.9928955, 0.9911268]"
fold_0,test,BigCodeBench/168,"[0.9870191, 0.9736974, 0.9916185]"
fold_0,test,BigCodeBench/775,"[0.9957563, 0.99595094, 0.9879758]"
fold_0,test,BigCodeBench/680,"[0.9888725, 0.9944484, 0.9885124]"
fold_0,test,BigCodeBench/1034,"[0.9787828, 0.9770555, 0.98038775]"
fold_0,test,BigCodeBench/91,"[0.9938557, 0.995928, 0.997538]"
fold_0,test,BigCodeBench/284,"[0.9671799, 0.9549743, 0.97295856]"
fold_0,test,BigCodeBench/75,"[0.9985067, 0.99766076, 0.997007]"
fold_0,test,BigCodeBench/531,"[0.9970896, 0.9950383, 0.995895]"
fold_0,test,BigCodeBench/922,"[0.9995848, 0.9995074, 0.9999229]"
fold_0,test,BigCodeBench/82,"[0.5381125, 0.99772155, 0.9986673]"
fold_0,test,BigCodeBench/102,"[0.99305046, 0.9876194, 0.9910474]"
fold_0,test,BigCodeBench/882,"[0.9863092, 0.9836941, 0.98470855]"
fold_0,test,BigCodeBench/101,"[0.9905351, 0.9937593, 0.99179274]"
fold_0,test,BigCodeBench/940,"[0.9984766, 0.99590504, 0.99021673]"
fold_0,test,BigCodeBench/244,"[0.9914045, 0.9886061, 0.98816484]"
fold_0,test,BigCodeBench/354,"[0.98291194, 0.9828516, 0.9745643]"
fold_0,test,BigCodeBench/10,"[0.99462223, 0.97694206, 0.9939706]"
fold_0,test,BigCodeBench/759,"[0.532477, 0.9820743, 0.9536105]"
fold_0,test,BigCodeBench/222,"[0.9889691, 0.99040234, 0.98680735]"
fold_0,test,BigCodeBench/708,"[0.97951096, 0.97921133, 0.98061264]"
fold_0,test,BigCodeBench/604,"[0.9694643, 0.9570926, 0.97572935]"
fold_0,test,BigCodeBench/943,"[0.9866779, 0.9811722, 0.9961347]"
fold_0,test,BigCodeBench/1025,"[0.99825954, 0.9973837, 0.99079204]"
fold_0,test,BigCodeBench/350,"[0.98934203, 0.9938931, 0.99459153]"
fold_0,test,BigCodeBench/780,"[0.98173857, 0.9833709, 0.9941601]"
fold_0,test,BigCodeBench/804,"[0.9953566, 0.9975171, 0.9964988]"
fold_0,test,BigCodeBench/781,"[0.98636186, 0.99564636, 0.98465407]"
fold_0,test,BigCodeBench/560,"[0.9787058, 0.99458015, 0.9655615]"
fold_0,test,BigCodeBench/745,"[0.96323, 0.9850606, 0.98251915]"
fold_0,test,BigCodeBench/120,"[0.9909572, 0.9972005, 0.9959179]"
fold_0,test,BigCodeBench/216,"[0.97433263, 0.9787815, 0.993657]"
fold_0,test,BigCodeBench/200,"[0.98165935, 0.98309875, 0.99036396]"
fold_0,test,BigCodeBench/575,"[0.99401426, 0.9821694, 0.9944904]"
fold_0,test,BigCodeBench/178,"[0.99042416, 0.9911701, 0.9902484]"
fold_0,test,BigCodeBench/831,"[0.9759289, 0.9834566, 0.9864054]"
fold_0,test,BigCodeBench/501,"[0.9963043, 0.9978119, 0.9954562]"
fold_0,test,BigCodeBench/460,"[0.98238975, 0.97410697, 0.9890811]"
fold_0,test,BigCodeBench/612,"[0.997928, 0.98725003, 0.9944069]"
fold_0,test,BigCodeBench/654,"[0.9899204, 0.99583864, 0.99532807]"
fold_0,test,BigCodeBench/613,"[0.99686205, 0.9973226, 0.9931457]"
fold_0,test,BigCodeBench/1055,"[0.98793423, 0.9851205, 0.9953584]"
fold_0,test,BigCodeBench/174,"[0.99565834, 0.9988898, 0.997838]"
fold_0,test,BigCodeBench/130,"[0.9913091, 0.98554695, 0.98416597]"
fold_0,test,BigCodeBench/315,"[0.9918459, 0.9917832, 0.9911315]"
fold_0,test,BigCodeBench/145,"[0.9961856, 0.9800643, 0.9965205]"
fold_0,test,BigCodeBench/704,"[0.98936844, 0.99076736, 0.9918345]"
fold_0,test,BigCodeBench/966,"[0.98720694, 0.97265965, 0.9890672]"
fold_0,test,BigCodeBench/1008,"[0.99112374, 0.9855569, 0.986153]"
fold_0,test,BigCodeBench/566,"[0.97957146, 0.957787, 0.9817403]"
fold_0,test,BigCodeBench/574,"[0.9970922, 0.97867274, 0.9954678]"
fold_0,test,BigCodeBench/278,"[0.9924345, 0.98453736, 0.9889091]"
fold_0,test,BigCodeBench/521,"[0.98679554, 0.98387116, 0.95962834]"
fold_0,test,BigCodeBench/471,"[0.99506575, 0.9937164, 0.9836426]"
fold_0,test,BigCodeBench/590,"[0.9946538, 0.9896417, 0.9829572]"
fold_0,test,BigCodeBench/83,"[0.9847672, 0.9852103, 0.99676365]"
fold_0,test,BigCodeBench/615,"[0.992146, 0.9887277, 0.99442524]"
fold_0,test,BigCodeBench/1125,"[0.9269102, 0.93064785, 0.95492524]"
fold_0,test,BigCodeBench/292,"[0.9855531, 0.9754641, 0.9795083]"
fold_0,test,BigCodeBench/478,"[0.9944817, 0.98523605, 0.99246633]"
fold_0,test,BigCodeBench/808,"[0.98554003, 0.9821479, 0.97628444]"
fold_0,test,BigCodeBench/226,"[0.9863702, 0.9889081, 0.9910754]"
fold_0,test,BigCodeBench/535,"[0.9955214, 0.9976823, 0.99244523]"
fold_0,test,BigCodeBench/126,"[0.9876181, 0.98020184, 0.9885632]"
fold_0,test,BigCodeBench/1084,"[0.99350965, 0.9937061, 0.9946493]"
fold_0,test,BigCodeBench/77,"[0.9835885, 0.98352987, 0.9812012]"
fold_0,test,BigCodeBench/341,"[0.9929714, 0.9890569, 0.9948426]"
fold_0,test,BigCodeBench/616,"[0.99703705, 0.99391013, 0.99673724]"
fold_0,test,BigCodeBench/64,"[0.9924674, 0.98638, 0.9944948]"
fold_0,test,BigCodeBench/171,"[0.987357, 0.98488605, 0.9807656]"
fold_0,test,BigCodeBench/214,"[0.991618, 0.99013096, 0.99011034]"
fold_0,test,BigCodeBench/920,"[0.9956539, 0.9892558, 0.96848875]"
fold_0,test,BigCodeBench/1054,"[0.98243785, 0.9927924, 0.9938013]"
fold_0,test,BigCodeBench/156,"[0.9946658, 0.98461, 0.9939544]"
fold_0,test,BigCodeBench/259,"[0.9813774, 0.9670769, 0.9790517]"
fold_0,test,BigCodeBench/895,"[0.97683585, 0.9712493, 0.98209673]"
fold_0,test,BigCodeBench/376,"[0.99301744, 0.99505514, 0.98906386]"
fold_0,test,BigCodeBench/681,"[0.9866781, 0.98304343, 0.97882533]"
fold_0,test,BigCodeBench/717,"[0.9935274, 0.99056834, 0.99692726]"
fold_0,test,BigCodeBench/626,"[0.9889942, 0.9910615, 0.99411297]"
fold_0,test,BigCodeBench/645,"[0.9966356, 0.9704113, 0.9826237]"
fold_0,test,BigCodeBench/186,"[0.9917094, 0.9864562, 0.9863506]"
fold_0,test,BigCodeBench/789,"[0.99220383, 0.9893623, 0.9891643]"
fold_0,test,BigCodeBench/221,"[0.9845124, 0.9866303, 0.98915577]"
fold_0,test,BigCodeBench/904,"[0.9821851, 0.9770202, 0.968554]"
fold_0,test,BigCodeBench/506,"[0.978395, 0.9731701, 0.9780432]"
fold_0,test,BigCodeBench/663,"[0.97498566, 0.98722756, 0.97732836]"
fold_0,test,BigCodeBench/20,"[0.99441826, 0.94192106, 0.9705657]"
fold_0,test,BigCodeBench/926,"[0.9956014, 0.98877853, 0.9937608]"
fold_0,test,BigCodeBench/1033,"[0.9898553, 0.97086287, 0.99267226]"
fold_0,test,BigCodeBench/35,"[0.97699434, 0.97051716, 0.9710647]"
fold_0,test,BigCodeBench/374,"[0.9973593, 0.99265337, 0.9913607]"
fold_0,test,BigCodeBench/26,"[0.9973894, 0.9703466, 0.9807063]"
fold_0,test,BigCodeBench/55,"[0.98125553, 0.9950782, 0.98401976]"
fold_0,test,BigCodeBench/638,"[0.9950324, 0.99408686, 0.9945097]"
fold_0,test,BigCodeBench/716,"[0.9918925, 0.98991853, 0.99369204]"
fold_0,test,BigCodeBench/80,"[0.9984013, 0.9970321, 0.9957577]"
fold_0,test,BigCodeBench/257,"[0.9674534, 0.960248, 0.9832598]"
fold_0,test,BigCodeBench/191,"[0.9949735, 0.99273837, 0.99103856]"
fold_0,test,BigCodeBench/706,"[0.98805577, 0.98707235, 0.99677396]"
fold_0,test,BigCodeBench/274,"[0.9983612, 0.99369884, 0.9974091]"
fold_0,test,BigCodeBench/1111,"[0.99637437, 0.99747324, 0.98236823]"
fold_0,test,BigCodeBench/135,"[0.9951703, 0.98993814, 0.9980433]"
fold_0,test,BigCodeBench/812,"[0.9923158, 0.9920027, 0.99230534]"
fold_0,test,BigCodeBench/131,"[0.9913091, 0.9904621, 0.98416597]"
fold_0,test,BigCodeBench/636,"[0.9893104, 0.98973405, 0.9848377]"
fold_0,test,BigCodeBench/234,"[0.99789584, 0.99268675, 0.99670154]"
fold_0,test,BigCodeBench/711,"[0.95124996, 0.9725343, 0.9945179]"
fold_0,test,BigCodeBench/814,"[0.98662883, 0.9907655, 0.9914076]"
fold_0,test,BigCodeBench/921,"[0.99624914, 0.99583995, 0.99652433]"
fold_0,test,BigCodeBench/1093,"[0.9804558, 0.973165, 0.9203757]"
fold_0,test,BigCodeBench/227,"[0.99459094, 0.99240386, 0.9928656]"
fold_0,test,BigCodeBench/1112,"[0.99023044, 0.9912022, 0.98857725]"
fold_0,test,BigCodeBench/610,"[0.9825157, 0.97909886, 0.98448944]"
fold_0,test,BigCodeBench/305,"[0.9979563, 0.996444, 0.9930678]"
fold_0,test,BigCodeBench/799,"[0.9979063, 0.9764211, 0.99630535]"
fold_0,test,BigCodeBench/518,"[0.9808364, 0.97978115, 0.9796767]"
fold_0,test,BigCodeBench/211,"[0.98012686, 0.99421114, 0.97728616]"
fold_0,test,BigCodeBench/579,"[0.99259317, 0.9956116, 0.99673903]"
fold_0,test,BigCodeBench/121,"[0.995978, 0.98634565, 0.99726677]"
fold_0,test,BigCodeBench/657,"[0.99523807, 0.9966127, 0.9980067]"
fold_0,test,BigCodeBench/422,"[0.99581945, 0.99267423, 0.9958893]"
fold_0,test,BigCodeBench/1042,"[0.9901251, 0.9827173, 0.99635124]"
fold_0,test,BigCodeBench/424,"[0.9955714, 0.9980074, 0.99151474]"
fold_0,test,BigCodeBench/74,"[0.9949436, 0.9907084, 0.9933571]"
fold_0,test,BigCodeBench/486,"[0.99189854, 0.99130124, 0.9927266]"
fold_0,test,BigCodeBench/821,"[0.9860866, 0.99217874, 0.99035573]"
